parameter,mean,std
main_deflector_parameters_theta_E,1.095819080589312,0.15441242099982377
main_deflector_parameters_gamma1,0.0006999856509420571,0.0504669756422831
main_deflector_parameters_gamma2,-0.0003900577717648925,0.0484217764168959
main_deflector_parameters_gamma,2.0029550116062524,0.10371949520534138
main_deflector_parameters_e1,0.0041035352985756696,0.10140112096168348
main_deflector_parameters_e2,0.0005669670511634597,0.09870512030598316
main_deflector_parameters_center_x,-0.005953665706063532,0.16008846877210645
main_deflector_parameters_center_y,-0.003617349505040838,0.15699565583782746
subhalo_parameters_sigma_sub,0.001971753475078376,0.001083603514031943
